Date,Open,High,Low,Close,Adj Close,Volume
2008-02-27,208.125000,210.925003,201.893997,202.363007,61.834194,8432760
2008-02-28,201.125000,202.500000,199.018997,199.919006,61.087406,11706032
2008-02-29,196.250000,200.238007,190.125000,193.524994,59.133644,7945088
2008-03-03,192.625000,192.625000,181.250000,183.488007,56.066730,12364736
2008-03-04,190.511993,190.511993,176.250000,177.380997,54.200672,10798960
2008-03-05,178.125000,187.500000,175.625000,184.850006,56.482895,11396696
2008-03-07,181.250000,181.250000,175.037994,178.819000,54.640068,9164680
2008-03-10,176.750000,184.824997,175.000000,178.886993,54.660843,5657136
2008-03-11,179.875000,179.875000,175.625000,178.294006,54.479652,16043424
2008-03-12,184.250000,184.375000,172.000000,173.143997,52.906006,13626184
2008-03-13,172.500000,173.100006,163.875000,167.212006,51.093422,7881488
2008-03-14,166.875000,173.625000,166.250000,171.274994,52.334911,9622768
2008-03-17,168.500000,169.287994,163.875000,167.225006,51.097397,5832080
2008-03-18,167.500000,170.125000,162.500000,164.324997,50.211273,14731424
2008-03-19,168.744003,171.625000,164.500000,167.962006,51.322575,15637216
2008-03-24,169.656006,173.500000,167.899994,170.056000,51.962437,13596008
2008-03-25,175.205994,193.363007,173.750000,186.537994,56.998684,22739080
2008-03-26,188.125000,189.731003,181.386993,187.438004,57.273697,11819184
2008-03-27,186.255997,186.255997,178.261993,180.218994,55.067848,16692504
2008-03-28,179.000000,192.337006,177.500000,190.149994,58.102371,11829888
2008-03-31,185.250000,187.500000,175.511993,179.988007,54.997276,20198320
2008-04-01,180.636993,183.000000,176.274994,177.880997,54.353462,6289208
2008-04-02,184.375000,187.375000,183.125000,185.350006,56.635689,11152080
2008-04-03,183.761993,191.250000,183.761993,190.311996,58.151875,9778160
2008-04-04,183.875000,190.875000,179.000000,185.681000,56.736820,8028032
2008-04-07,187.375000,191.050003,184.531006,186.505997,56.988903,16097184
2008-04-08,186.500000,186.875000,181.531006,183.369003,56.030369,12385648
2008-04-09,183.369003,186.000000,181.375000,184.994003,56.526909,9028552
2008-04-10,183.125000,188.738007,180.375000,181.574997,55.482178,17130064
2008-04-11,183.750000,185.000000,176.625000,177.738007,54.309765,24134312
2008-04-15,180.000000,190.625000,177.500000,188.800003,57.689865,36402536
2008-04-16,190.625000,201.875000,190.000000,200.024994,61.119774,30611608
2008-04-17,203.744003,211.250000,202.500000,207.386993,63.369316,36919280
2008-04-21,209.875000,214.625000,203.500000,205.725006,62.861488,14821992
2008-04-22,203.750000,205.643997,197.500000,199.824997,61.058674,16797448
2008-04-23,200.000000,206.636993,199.636993,205.994003,62.943672,16632104
2008-04-24,206.250000,213.488007,204.125000,212.005997,64.780701,18346552
2008-04-25,212.494003,214.449997,206.375000,210.537994,64.332130,15895984
2008-04-28,211.250000,212.500000,206.386993,207.955994,63.543186,8629856
2008-04-29,206.250000,220.244003,205.136993,218.694000,66.824303,33966768
2008-04-30,220.000000,226.250000,216.261993,219.136993,66.959648,20999336
2008-05-02,221.875000,224.625000,221.044006,223.431000,68.271759,17349008
2008-05-05,223.375000,226.250000,220.518997,223.244003,68.214607,9792280
2008-05-06,220.699997,231.250000,217.000000,225.931000,69.035629,17782656
2008-05-07,229.613007,232.375000,227.324997,230.518997,70.437561,22085248
2008-05-08,225.625000,229.375000,218.181000,223.080994,68.164780,15537672
2008-05-09,222.625000,223.925003,217.125000,218.669006,66.816658,14412800
2008-05-12,221.175003,224.875000,211.919006,221.675003,67.735168,16301840
